ID,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,mpg01
71_plymouth fury iii_4096,14.0,8,318.0,150,4096,13.0,71,1,plymouth fury iii,0
71_dodge monaco (sw)_4955,12.0,8,383.0,180,4955,11.5,71,1,dodge monaco (sw),0
71_ford country squire (sw)_4746,13.0,8,400.0,170,4746,12.0,71,1,ford country squire (sw),0
71_pontiac safari (sw)_5140,13.0,8,400.0,175,5140,12.0,71,1,pontiac safari (sw),0
71_amc hornet sportabout (sw)_2962,18.0,6,258.0,110,2962,13.5,71,1,amc hornet sportabout (sw),0
71_chevrolet vega (sw)_2408,22.0,4,140.0,72,2408,19.0,71,1,chevrolet vega (sw),0
71_pontiac firebird_3282,19.0,6,250.0,100,3282,15.0,71,1,pontiac firebird,0
71_ford mustang_3139,18.0,6,250.0,88,3139,14.5,71,1,ford mustang,0
71_mercury capri 2000_2220,23.0,4,122.0,86,2220,14.0,71,1,mercury capri 2000,1
71_opel 1900_2123,28.0,4,116.0,90,2123,14.0,71,2,opel 1900,1
71_peugeot 304_2074,30.0,4,79.0,70,2074,19.5,71,2,peugeot 304,1
71_fiat 124b_2065,30.0,4,88.0,76,2065,14.5,71,2,fiat 124b,1
71_toyota corolla 1200_1773,31.0,4,71.0,65,1773,19.0,71,3,toyota corolla 1200,1
71_datsun 1200_1613,35.0,4,72.0,69,1613,18.0,71,3,datsun 1200,1
71_volkswagen model 111_1834,27.0,4,97.0,60,1834,19.0,71,2,volkswagen model 111,1
71_plymouth cricket_1955,26.0,4,91.0,70,1955,20.5,71,1,plymouth cricket,1
72_toyota corona hardtop_2278,24.0,4,113.0,95,2278,15.5,72,3,toyota corona hardtop,1
72_dodge colt hardtop_2126,25.0,4,97.5,80,2126,17.0,72,1,dodge colt hardtop,1
72_volkswagen type 3_2254,23.0,4,97.0,54,2254,23.5,72,2,volkswagen type 3,1
72_chevrolet vega_2408,20.0,4,140.0,90,2408,19.5,72,1,chevrolet vega,0
72_ford pinto runabout_2226,21.0,4,122.0,86,2226,16.5,72,1,ford pinto runabout,0
72_chevrolet impala_4274,13.0,8,350.0,165,4274,12.0,72,1,chevrolet impala,0
72_pontiac catalina_4385,14.0,8,400.0,175,4385,12.0,72,1,pontiac catalina,0
72_plymouth fury iii_4135,15.0,8,318.0,150,4135,13.5,72,1,plymouth fury iii,0
72_ford galaxie 500_4129,14.0,8,351.0,153,4129,13.0,72,1,ford galaxie 500,0
72_amc ambassador sst_3672,17.0,8,304.0,150,3672,11.5,72,1,amc ambassador sst,0
72_mercury marquis_4633,11.0,8,429.0,208,4633,11.0,72,1,mercury marquis,0
72_buick lesabre custom_4502,13.0,8,350.0,155,4502,13.5,72,1,buick lesabre custom,0
72_oldsmobile delta 88 royale_4456,12.0,8,350.0,160,4456,13.5,72,1,oldsmobile delta 88 royale,0
72_chrysler newport royal_4422,13.0,8,400.0,190,4422,12.5,72,1,chrysler newport royal,0
72_mazda rx2 coupe_2330,19.0,3,70.0,97,2330,13.5,72,3,mazda rx2 coupe,0
72_amc matador (sw)_3892,15.0,8,304.0,150,3892,12.5,72,1,amc matador (sw),0
72_chevrolet chevelle concours (sw)_4098,13.0,8,307.0,130,4098,14.0,72,1,chevrolet chevelle concours (sw),0
72_ford gran torino (sw)_4294,13.0,8,302.0,140,4294,16.0,72,1,ford gran torino (sw),0
72_plymouth satellite custom (sw)_4077,14.0,8,318.0,150,4077,14.0,72,1,plymouth satellite custom (sw),0
72_volvo 145e (sw)_2933,18.0,4,121.0,112,2933,14.5,72,2,volvo 145e (sw),0
72_volkswagen 411 (sw)_2511,22.0,4,121.0,76,2511,18.0,72,2,volkswagen 411 (sw),0
72_peugeot 504 (sw)_2979,21.0,4,120.0,87,2979,19.5,72,2,peugeot 504 (sw),0
72_renault 12 (sw)_2189,26.0,4,96.0,69,2189,18.0,72,2,renault 12 (sw),1
72_ford pinto (sw)_2395,22.0,4,122.0,86,2395,16.0,72,1,ford pinto (sw),0
72_datsun 510 (sw)_2288,28.0,4,97.0,92,2288,17.0,72,3,datsun 510 (sw),1
72_toyouta corona mark ii (sw)_2506,23.0,4,120.0,97,2506,14.5,72,3,toyouta corona mark ii (sw),1
72_dodge colt (sw)_2164,28.0,4,98.0,80,2164,15.0,72,1,dodge colt (sw),1
72_toyota corolla 1600 (sw)_2100,27.0,4,97.0,88,2100,16.5,72,3,toyota corolla 1600 (sw),1
73_buick century 350_4100,13.0,8,350.0,175,4100,13.0,73,1,buick century 350,0
73_amc matador_3672,14.0,8,304.0,150,3672,11.5,73,1,amc matador,0
73_chevrolet malibu_3988,13.0,8,350.0,145,3988,13.0,73,1,chevrolet malibu,0
73_ford gran torino_4042,14.0,8,302.0,137,4042,14.5,73,1,ford gran torino,0
73_dodge coronet custom_3777,15.0,8,318.0,150,3777,12.5,73,1,dodge coronet custom,0
73_mercury marquis brougham_4952,12.0,8,429.0,198,4952,11.5,73,1,mercury marquis brougham,0
73_chevrolet caprice classic_4464,13.0,8,400.0,150,4464,12.0,73,1,chevrolet caprice classic,0
73_ford ltd_4363,13.0,8,351.0,158,4363,13.0,73,1,ford ltd,0
73_plymouth fury gran sedan_4237,14.0,8,318.0,150,4237,14.5,73,1,plymouth fury gran sedan,0
73_chrysler new yorker brougham_4735,13.0,8,440.0,215,4735,11.0,73,1,chrysler new yorker brougham,0
73_buick electra 225 custom_4951,12.0,8,455.0,225,4951,11.0,73,1,buick electra 225 custom,0
73_amc ambassador brougham_3821,13.0,8,360.0,175,3821,11.0,73,1,amc ambassador brougham,0
73_plymouth valiant_3121,18.0,6,225.0,105,3121,16.5,73,1,plymouth valiant,0
73_chevrolet nova custom_3278,16.0,6,250.0,100,3278,18.0,73,1,chevrolet nova custom,0
73_amc hornet_2945,18.0,6,232.0,100,2945,16.0,73,1,amc hornet,0
73_ford maverick_3021,18.0,6,250.0,88,3021,16.5,73,1,ford maverick,0
73_plymouth duster_2904,23.0,6,198.0,95,2904,16.0,73,1,plymouth duster,1
73_volkswagen super beetle_1950,26.0,4,97.0,46,1950,21.0,73,2,volkswagen super beetle,1
73_chevrolet impala_4997,11.0,8,400.0,150,4997,14.0,73,1,chevrolet impala,0
73_ford country_4906,12.0,8,400.0,167,4906,12.5,73,1,ford country,0
73_plymouth custom suburb_4654,13.0,8,360.0,170,4654,13.0,73,1,plymouth custom suburb,0
73_oldsmobile vista cruiser_4499,12.0,8,350.0,180,4499,12.5,73,1,oldsmobile vista cruiser,0
73_amc gremlin_2789,18.0,6,232.0,100,2789,15.0,73,1,amc gremlin,0
73_toyota carina_2279,20.0,4,97.0,88,2279,19.0,73,3,toyota carina,0
73_chevrolet vega_2401,21.0,4,140.0,72,2401,19.5,73,1,chevrolet vega,0
73_datsun 610_2379,22.0,4,108.0,94,2379,16.5,73,3,datsun 610,0
73_maxda rx3_2124,18.0,3,70.0,90,2124,13.5,73,3,maxda rx3,0
73_ford pinto_2310,19.0,4,122.0,85,2310,18.5,73,1,ford pinto,0
73_mercury capri v6_2472,21.0,6,155.0,107,2472,14.0,73,1,mercury capri v6,0
73_fiat 124 sport coupe_2265,26.0,4,98.0,90,2265,15.5,73,2,fiat 124 sport coupe,1
73_chevrolet monte carlo s_4082,15.0,8,350.0,145,4082,13.0,73,1,chevrolet monte carlo s,0
73_pontiac grand prix_4278,16.0,8,400.0,230,4278,9.5,73,1,pontiac grand prix,0
73_fiat 128_1867,29.0,4,68.0,49,1867,19.5,73,2,fiat 128,1
73_opel manta_2158,24.0,4,116.0,75,2158,15.5,73,2,opel manta,1
73_audi 100ls_2582,20.0,4,114.0,91,2582,14.0,73,2,audi 100ls,0
73_volvo 144ea_2868,19.0,4,121.0,112,2868,15.5,73,2,volvo 144ea,0
73_dodge dart custom_3399,15.0,8,318.0,150,3399,11.0,73,1,dodge dart custom,0
73_saab 99le_2660,24.0,4,121.0,110,2660,14.0,73,2,saab 99le,1
73_toyota mark ii_2807,20.0,6,156.0,122,2807,13.5,73,3,toyota mark ii,0
73_oldsmobile omega_3664,11.0,8,350.0,180,3664,11.0,73,1,oldsmobile omega,0
74_plymouth duster_3102,20.0,6,198.0,95,3102,16.5,74,1,plymouth duster,0
74_ford maverick_2875,21.0,6,200.0,105,2875,17.0,74,1,ford maverick,0
74_amc hornet_2901,19.0,6,232.0,100,2901,16.0,74,1,amc hornet,0
74_chevrolet nova_3336,15.0,6,250.0,100,3336,17.0,74,1,chevrolet nova,0
74_datsun b210_1950,31.0,4,79.0,67,1950,19.0,74,3,datsun b210,1
74_ford pinto_2451,26.0,4,122.0,80,2451,16.5,74,1,ford pinto,1
74_toyota corolla 1200_1836,32.0,4,71.0,65,1836,21.0,74,3,toyota corolla 1200,1
74_chevrolet vega_2542,25.0,4,140.0,75,2542,17.0,74,1,chevrolet vega,1
74_chevrolet chevelle malibu classic_3781,16.0,6,250.0,100,3781,17.0,74,1,chevrolet chevelle malibu classic,0
74_amc matador_3632,16.0,6,258.0,110,3632,18.0,74,1,amc matador,0
74_plymouth satellite sebring_3613,18.0,6,225.0,105,3613,16.5,74,1,plymouth satellite sebring,0
74_ford gran torino_4141,16.0,8,302.0,140,4141,14.0,74,1,ford gran torino,0
74_buick century luxus (sw)_4699,13.0,8,350.0,150,4699,14.5,74,1,buick century luxus (sw),0
74_dodge coronet custom (sw)_4457,14.0,8,318.0,150,4457,13.5,74,1,dodge coronet custom (sw),0
74_ford gran torino (sw)_4638,14.0,8,302.0,140,4638,16.0,74,1,ford gran torino (sw),0
74_amc matador (sw)_4257,14.0,8,304.0,150,4257,15.5,74,1,amc matador (sw),0
74_audi fox_2219,29.0,4,98.0,83,2219,16.5,74,2,audi fox,1
74_volkswagen dasher_1963,26.0,4,79.0,67,1963,15.5,74,2,volkswagen dasher,1
74_opel manta_2300,26.0,4,97.0,78,2300,14.5,74,2,opel manta,1
74_toyota corona_1649,31.0,4,76.0,52,1649,16.5,74,3,toyota corona,1
74_datsun 710_2003,32.0,4,83.0,61,2003,19.0,74,3,datsun 710,1
74_dodge colt_2125,28.0,4,90.0,75,2125,14.5,74,1,dodge colt,1
74_fiat 128_2108,24.0,4,90.0,75,2108,15.5,74,2,fiat 128,1
74_fiat 124 tc_2246,26.0,4,116.0,75,2246,14.0,74,2,fiat 124 tc,1
74_honda civic_2489,24.0,4,120.0,97,2489,15.0,74,3,honda civic,1
74_subaru_2391,26.0,4,108.0,93,2391,15.5,74,3,subaru,1
74_fiat x1.9_2000,31.0,4,79.0,67,2000,16.0,74,2,fiat x1.9,1
75_plymouth valiant custom_3264,19.0,6,225.0,95,3264,16.0,75,1,plymouth valiant custom,0
75_chevrolet nova_3459,18.0,6,250.0,105,3459,16.0,75,1,chevrolet nova,0
75_mercury monarch_3432,15.0,6,250.0,72,3432,21.0,75,1,mercury monarch,0
75_ford maverick_3158,15.0,6,250.0,72,3158,19.5,75,1,ford maverick,0
75_pontiac catalina_4668,16.0,8,400.0,170,4668,11.5,75,1,pontiac catalina,0
75_chevrolet bel air_4440,15.0,8,350.0,145,4440,14.0,75,1,chevrolet bel air,0
75_plymouth grand fury_4498,16.0,8,318.0,150,4498,14.5,75,1,plymouth grand fury,0
75_ford ltd_4657,14.0,8,351.0,148,4657,13.5,75,1,ford ltd,0
75_buick century_3907,17.0,6,231.0,110,3907,21.0,75,1,buick century,0
75_chevroelt chevelle malibu_3897,16.0,6,250.0,105,3897,18.5,75,1,chevroelt chevelle malibu,0
75_amc matador_3730,15.0,6,258.0,110,3730,19.0,75,1,amc matador,0
75_plymouth fury_3785,18.0,6,225.0,95,3785,19.0,75,1,plymouth fury,0
75_buick skyhawk_3039,21.0,6,231.0,110,3039,15.0,75,1,buick skyhawk,0
75_chevrolet monza 2+2_3221,20.0,8,262.0,110,3221,13.5,75,1,chevrolet monza 2+2,0
75_ford mustang ii_3169,13.0,8,302.0,129,3169,12.0,75,1,ford mustang ii,0
75_toyota corolla_2171,29.0,4,97.0,75,2171,16.0,75,3,toyota corolla,1
75_ford pinto_2639,23.0,4,140.0,83,2639,17.0,75,1,ford pinto,1
75_amc gremlin_2914,20.0,6,232.0,100,2914,16.0,75,1,amc gremlin,0
75_pontiac astro_2592,23.0,4,140.0,78,2592,18.5,75,1,pontiac astro,1
75_toyota corona_2702,24.0,4,134.0,96,2702,13.5,75,3,toyota corona,1
75_volkswagen dasher_2223,25.0,4,90.0,71,2223,16.5,75,2,volkswagen dasher,1
75_datsun 710_2545,24.0,4,119.0,97,2545,17.0,75,3,datsun 710,1
75_ford pinto_2984,18.0,6,171.0,97,2984,14.5,75,1,ford pinto,0
75_volkswagen rabbit_1937,29.0,4,90.0,70,1937,14.0,75,2,volkswagen rabbit,1
75_amc pacer_3211,19.0,6,232.0,90,3211,17.0,75,1,amc pacer,0
75_audi 100ls_2694,23.0,4,115.0,95,2694,15.0,75,2,audi 100ls,1
75_peugeot 504_2957,23.0,4,120.0,88,2957,17.0,75,2,peugeot 504,1
75_volvo 244dl_2945,22.0,4,121.0,98,2945,14.5,75,2,volvo 244dl,0
75_saab 99le_2671,25.0,4,121.0,115,2671,13.5,75,2,saab 99le,1
75_honda civic cvcc_1795,33.0,4,91.0,53,1795,17.5,75,3,honda civic cvcc,1
76_fiat 131_2464,28.0,4,107.0,86,2464,15.5,76,2,fiat 131,1
76_opel 1900_2220,25.0,4,116.0,81,2220,16.9,76,2,opel 1900,1
76_capri ii_2572,25.0,4,140.0,92,2572,14.9,76,1,capri ii,1
76_dodge colt_2255,26.0,4,98.0,79,2255,17.7,76,1,dodge colt,1
76_renault 12tl_2202,27.0,4,101.0,83,2202,15.3,76,2,renault 12tl,1
76_chevrolet chevelle malibu classic_4215,17.5,8,305.0,140,4215,13.0,76,1,chevrolet chevelle malibu classic,0
76_dodge coronet brougham_4190,16.0,8,318.0,150,4190,13.0,76,1,dodge coronet brougham,0
76_amc matador_3962,15.5,8,304.0,120,3962,13.9,76,1,amc matador,0
76_ford gran torino_4215,14.5,8,351.0,152,4215,12.8,76,1,ford gran torino,0
76_plymouth valiant_3233,22.0,6,225.0,100,3233,15.4,76,1,plymouth valiant,0
76_chevrolet nova_3353,22.0,6,250.0,105,3353,14.5,76,1,chevrolet nova,0
76_ford maverick_3012,24.0,6,200.0,81,3012,17.6,76,1,ford maverick,1
76_amc hornet_3085,22.5,6,232.0,90,3085,17.6,76,1,amc hornet,0
76_chevrolet chevette_2035,29.0,4,85.0,52,2035,22.2,76,1,chevrolet chevette,1
76_chevrolet woody_2164,24.5,4,98.0,60,2164,22.1,76,1,chevrolet woody,1
76_vw rabbit_1937,29.0,4,90.0,70,1937,14.2,76,2,vw rabbit,1
76_honda civic_1795,33.0,4,91.0,53,1795,17.4,76,3,honda civic,1
76_dodge aspen se_3651,20.0,6,225.0,100,3651,17.7,76,1,dodge aspen se,0
76_ford granada ghia_3574,18.0,6,250.0,78,3574,21.0,76,1,ford granada ghia,0
76_pontiac ventura sj_3645,18.5,6,250.0,110,3645,16.2,76,1,pontiac ventura sj,0
76_amc pacer d/l_3193,17.5,6,258.0,95,3193,17.8,76,1,amc pacer d/l,0
76_volkswagen rabbit_1825,29.5,4,97.0,71,1825,12.2,76,2,volkswagen rabbit,1
76_datsun b-210_1990,32.0,4,85.0,70,1990,17.0,76,3,datsun b-210,1
76_toyota corolla_2155,28.0,4,97.0,75,2155,16.4,76,3,toyota corolla,1
76_ford pinto_2565,26.5,4,140.0,72,2565,13.6,76,1,ford pinto,1
76_volvo 245_3150,20.0,4,130.0,102,3150,15.7,76,2,volvo 245,0
76_plymouth volare premier v8_3940,13.0,8,318.0,150,3940,13.2,76,1,plymouth volare premier v8,0
76_peugeot 504_3270,19.0,4,120.0,88,3270,21.9,76,2,peugeot 504,0
76_toyota mark ii_2930,19.0,6,156.0,108,2930,15.5,76,3,toyota mark ii,0
76_mercedes-benz 280s_3820,16.5,6,168.0,120,3820,16.7,76,2,mercedes-benz 280s,0
76_cadillac seville_4380,16.5,8,350.0,180,4380,12.1,76,1,cadillac seville,0
76_chevy c10_4055,13.0,8,350.0,145,4055,12.0,76,1,chevy c10,0
76_ford f108_3870,13.0,8,302.0,130,3870,15.0,76,1,ford f108,0
76_dodge d100_3755,13.0,8,318.0,150,3755,14.0,76,1,dodge d100,0
77_honda accord cvcc_2045,31.5,4,98.0,68,2045,18.5,77,3,honda accord cvcc,1
77_buick opel isuzu deluxe_2155,30.0,4,111.0,80,2155,14.8,77,1,buick opel isuzu deluxe,1
77_renault 5 gtl_1825,36.0,4,79.0,58,1825,18.6,77,2,renault 5 gtl,1
77_plymouth arrow gs_2300,25.5,4,122.0,96,2300,15.5,77,1,plymouth arrow gs,1
77_datsun f-10 hatchback_1945,33.5,4,85.0,70,1945,16.8,77,3,datsun f-10 hatchback,1
77_chevrolet caprice classic_3880,17.5,8,305.0,145,3880,12.5,77,1,chevrolet caprice classic,0
77_oldsmobile cutlass supreme_4060,17.0,8,260.0,110,4060,19.0,77,1,oldsmobile cutlass supreme,0
77_dodge monaco brougham_4140,15.5,8,318.0,145,4140,13.7,77,1,dodge monaco brougham,0
77_mercury cougar brougham_4295,15.0,8,302.0,130,4295,14.9,77,1,mercury cougar brougham,0
77_chevrolet concours_3520,17.5,6,250.0,110,3520,16.4,77,1,chevrolet concours,0
77_buick skylark_3425,20.5,6,231.0,105,3425,16.9,77,1,buick skylark,0
77_plymouth volare custom_3630,19.0,6,225.0,100,3630,17.7,77,1,plymouth volare custom,0
77_ford granada_3525,18.5,6,250.0,98,3525,19.0,77,1,ford granada,0
77_pontiac grand prix lj_4220,16.0,8,400.0,180,4220,11.1,77,1,pontiac grand prix lj,0
77_chevrolet monte carlo landau_4165,15.5,8,350.0,170,4165,11.4,77,1,chevrolet monte carlo landau,0
77_chrysler cordoba_4325,15.5,8,400.0,190,4325,12.2,77,1,chrysler cordoba,0
77_ford thunderbird_4335,16.0,8,351.0,149,4335,14.5,77,1,ford thunderbird,0
77_volkswagen rabbit custom_1940,29.0,4,97.0,78,1940,14.5,77,2,volkswagen rabbit custom,1
77_pontiac sunbird coupe_2740,24.5,4,151.0,88,2740,16.0,77,1,pontiac sunbird coupe,1
77_toyota corolla liftback_2265,26.0,4,97.0,75,2265,18.2,77,3,toyota corolla liftback,1
77_ford mustang ii 2+2_2755,25.5,4,140.0,89,2755,15.8,77,1,ford mustang ii 2+2,1
77_chevrolet chevette_2051,30.5,4,98.0,63,2051,17.0,77,1,chevrolet chevette,1
77_dodge colt m/m_2075,33.5,4,98.0,83,2075,15.9,77,1,dodge colt m/m,1
77_subaru dl_1985,30.0,4,97.0,67,1985,16.4,77,3,subaru dl,1
77_volkswagen dasher_2190,30.5,4,97.0,78,2190,14.1,77,2,volkswagen dasher,1
77_datsun 810_2815,22.0,6,146.0,97,2815,14.5,77,3,datsun 810,0
77_bmw 320i_2600,21.5,4,121.0,110,2600,12.8,77,2,bmw 320i,0
77_mazda rx-4_2720,21.5,3,80.0,110,2720,13.5,77,3,mazda rx-4,0
78_volkswagen rabbit custom diesel_1985,43.1,4,90.0,48,1985,21.5,78,2,volkswagen rabbit custom diesel,1
78_ford fiesta_1800,36.1,4,98.0,66,1800,14.4,78,1,ford fiesta,1
78_mazda glc deluxe_1985,32.8,4,78.0,52,1985,19.4,78,3,mazda glc deluxe,1
78_datsun b210 gx_2070,39.4,4,85.0,70,2070,18.6,78,3,datsun b210 gx,1
78_honda civic cvcc_1800,36.1,4,91.0,60,1800,16.4,78,3,honda civic cvcc,1
78_oldsmobile cutlass salon brougham_3365,19.9,8,260.0,110,3365,15.5,78,1,oldsmobile cutlass salon brougham,0
78_dodge diplomat_3735,19.4,8,318.0,140,3735,13.2,78,1,dodge diplomat,0
78_mercury monarch ghia_3570,20.2,8,302.0,139,3570,12.8,78,1,mercury monarch ghia,0
78_pontiac phoenix lj_3535,19.2,6,231.0,105,3535,19.2,78,1,pontiac phoenix lj,0
78_chevrolet malibu_3155,20.5,6,200.0,95,3155,18.2,78,1,chevrolet malibu,0
78_ford fairmont (auto)_2965,20.2,6,200.0,85,2965,15.8,78,1,ford fairmont (auto),0
78_ford fairmont (man)_2720,25.1,4,140.0,88,2720,15.4,78,1,ford fairmont (man),1
78_plymouth volare_3430,20.5,6,225.0,100,3430,17.2,78,1,plymouth volare,0
78_amc concord_3210,19.4,6,232.0,90,3210,17.2,78,1,amc concord,0
78_buick century special_3380,20.6,6,231.0,105,3380,15.8,78,1,buick century special,0
78_mercury zephyr_3070,20.8,6,200.0,85,3070,16.7,78,1,mercury zephyr,0
78_dodge aspen_3620,18.6,6,225.0,110,3620,18.7,78,1,dodge aspen,0
78_amc concord d/l_3410,18.1,6,258.0,120,3410,15.1,78,1,amc concord d/l,0
78_chevrolet monte carlo landau_3425,19.2,8,305.0,145,3425,13.2,78,1,chevrolet monte carlo landau,0
78_buick regal sport coupe (turbo)_3445,17.7,6,231.0,165,3445,13.4,78,1,buick regal sport coupe (turbo),0
78_ford futura_3205,18.1,8,302.0,139,3205,11.2,78,1,ford futura,0
78_dodge magnum xe_4080,17.5,8,318.0,140,4080,13.7,78,1,dodge magnum xe,0
78_chevrolet chevette_2155,30.0,4,98.0,68,2155,16.5,78,1,chevrolet chevette,1
78_toyota corona_2560,27.5,4,134.0,95,2560,14.2,78,3,toyota corona,1
78_datsun 510_2300,27.2,4,119.0,97,2300,14.7,78,3,datsun 510,1
78_dodge omni_2230,30.9,4,105.0,75,2230,14.5,78,1,dodge omni,1
78_toyota celica gt liftback_2515,21.1,4,134.0,95,2515,14.8,78,3,toyota celica gt liftback,0
78_plymouth sapporo_2745,23.2,4,156.0,105,2745,16.7,78,1,plymouth sapporo,1
78_oldsmobile starfire sx_2855,23.8,4,151.0,85,2855,17.6,78,1,oldsmobile starfire sx,1
78_datsun 200-sx_2405,23.9,4,119.0,97,2405,14.9,78,3,datsun 200-sx,1
78_audi 5000_2830,20.3,5,131.0,103,2830,15.9,78,2,audi 5000,0
78_volvo 264gl_3140,17.0,6,163.0,125,3140,13.6,78,2,volvo 264gl,0
78_saab 99gle_2795,21.6,4,121.0,115,2795,15.7,78,2,saab 99gle,0
78_peugeot 604sl_3410,16.2,6,163.0,133,3410,15.8,78,2,peugeot 604sl,0
78_volkswagen scirocco_1990,31.5,4,89.0,71,1990,14.9,78,2,volkswagen scirocco,1
78_honda accord lx_2135,29.5,4,98.0,68,2135,16.6,78,3,honda accord lx,1
79_pontiac lemans v6_3245,21.5,6,231.0,115,3245,15.4,79,1,pontiac lemans v6,0
79_mercury zephyr 6_2990,19.8,6,200.0,85,2990,18.2,79,1,mercury zephyr 6,0
79_ford fairmont 4_2890,22.3,4,140.0,88,2890,17.3,79,1,ford fairmont 4,0
79_amc concord dl 6_3265,20.2,6,232.0,90,3265,18.2,79,1,amc concord dl 6,0
79_dodge aspen 6_3360,20.6,6,225.0,110,3360,16.6,79,1,dodge aspen 6,0
79_chevrolet caprice classic_3840,17.0,8,305.0,130,3840,15.4,79,1,chevrolet caprice classic,0
79_ford ltd landau_3725,17.6,8,302.0,129,3725,13.4,79,1,ford ltd landau,0
79_mercury grand marquis_3955,16.5,8,351.0,138,3955,13.2,79,1,mercury grand marquis,0
79_dodge st. regis_3830,18.2,8,318.0,135,3830,15.2,79,1,dodge st. regis,0
79_buick estate wagon (sw)_4360,16.9,8,350.0,155,4360,14.9,79,1,buick estate wagon (sw),0
79_ford country squire (sw)_4054,15.5,8,351.0,142,4054,14.3,79,1,ford country squire (sw),0
79_chevrolet malibu classic (sw)_3605,19.2,8,267.0,125,3605,15.0,79,1,chevrolet malibu classic (sw),0
79_chrysler lebaron town @ country (sw)_3940,18.5,8,360.0,150,3940,13.0,79,1,chrysler lebaron town @ country (sw),0
79_vw rabbit custom_1925,31.9,4,89.0,71,1925,14.0,79,2,vw rabbit custom,1
79_maxda glc deluxe_1975,34.1,4,86.0,65,1975,15.2,79,3,maxda glc deluxe,1
