ID,mpg_01
77_dodge aspen se_romeo_3649,0
76_ford granada ghia_sierra_3561,0
76_pontiac ventura sj_tango_3639,0
75_amc pacer d/l_uniform_3207,0
76_volkswagen rabbit_victor_1829,1
76_datsun b-210_whiskey_2001,1
77_toyota corolla_xray_2145,1
76_ford pinto_yankee_2553,1
76_volvo 245_zulu_3160,0
76_plymouth volare premier v8_alpha_3944,0
75_peugeot 504_bravo_3275,0
76_toyota mark ii_charlie_2939,0
74_mercedes-benz 280s_delta_3813,0
77_cadillac seville_echo_4376,0
75_chevy c10_foxtrot_4065,0
76_ford f108_golf_3881,0
76_dodge d100_hotel_3768,0
77_honda accord cvcc_india_2038,1
77_buick opel isuzu deluxe_juliet_2159,1
79_renault 5 gtl_kilo_1818,1
77_plymouth arrow gs_lima_2297,1
77_datsun f-10 hatchback_mike_1960,1
77_chevrolet caprice classic_november_3873,0
77_oldsmobile cutlass supreme_oscar_4046,0
77_dodge monaco brougham_papa_4153,0
76_mercury cougar brougham_quebec_4287,0
77_chevrolet concours_romeo_3530,0
77_buick skylark_sierra_3414,0
77_plymouth volare custom_tango_3631,0
77_ford granada_uniform_3510,0
77_pontiac grand prix lj_victor_4230,0
78_chevrolet monte carlo landau_whiskey_4168,0
77_chrysler cordoba_xray_4328,0
77_ford thunderbird_yankee_4336,0
77_volkswagen rabbit custom_zulu_1932,1
77_pontiac sunbird coupe_alpha_2735,1
78_toyota corolla liftback_bravo_2257,1
77_ford mustang ii 2+2_charlie_2762,1
77_chevrolet chevette_delta_2042,1
77_dodge colt m/m_echo_2060,1
76_subaru dl_foxtrot_1999,1
77_volkswagen dasher_golf_2202,1
78_datsun 810_hotel_2820,0
77_bmw 320i_india_2587,0
76_mazda rx-4_juliet_2731,0
78_volkswagen rabbit custom diesel_kilo_1976,1
78_ford fiesta_lima_1795,1
77_mazda glc deluxe_mike_1975,1
78_datsun b210 gx_november_2060,1
78_honda civic cvcc_oscar_1809,1
78_oldsmobile cutlass salon brougham_papa_3378,0
80_dodge diplomat_quebec_3723,0
77_mercury monarch ghia_romeo_3565,0
78_pontiac phoenix lj_sierra_3524,0
80_chevrolet malibu_tango_3153,0
78_ford fairmont (auto)_uniform_2966,0
78_ford fairmont (man)_victor_2705,1
78_plymouth volare_whiskey_3442,0
78_amc concord_xray_3225,0
78_buick century special_yankee_3365,0
77_mercury zephyr_zulu_3085,0
78_dodge aspen_alpha_3626,0
78_amc concord d/l_bravo_3419,0
78_chevrolet monte carlo landau_charlie_3410,0
79_buick regal sport coupe (turbo)_delta_3450,0
78_ford futura_echo_3190,0
79_dodge magnum xe_foxtrot_4093,0
77_chevrolet chevette_golf_2153,1
79_toyota corona_hotel_2572,1
78_datsun 510_india_2305,1
80_dodge omni_juliet_2233,1
78_toyota celica gt liftback_kilo_2505,0
79_plymouth sapporo_lima_2751,1
78_oldsmobile starfire sx_mike_2860,1
78_datsun 200-sx_november_2395,1
76_audi 5000_oscar_2815,0
78_volvo 264gl_papa_3143,0
78_saab 99gle_quebec_2806,0
78_peugeot 604sl_romeo_3399,0
79_volkswagen scirocco_sierra_1982,1
78_honda accord lx_tango_2136,1
79_pontiac lemans v6_uniform_3239,0
79_mercury zephyr 6_victor_3002,0
77_ford fairmont 4_whiskey_2875,1
79_amc concord dl 6_xray_3257,0
78_dodge aspen 6_yankee_3361,0
81_chevrolet caprice classic_zulu_3844,0
78_ford ltd landau_alpha_3718,0
79_mercury grand marquis_bravo_3951,0
80_dodge st. regis_charlie_3835,0
79_buick estate wagon (sw)_delta_4352,0
79_ford country squire (sw)_echo_4061,0
79_chevrolet malibu classic (sw)_foxtrot_3598,0
77_chrysler lebaron town @ country (sw)_golf_3953,0
79_vw rabbit custom_hotel_1929,1
78_maxda glc deluxe_india_1980,1
79_dodge colt hatchback custom_juliet_1904,1
79_amc spirit dl_kilo_2659,1
79_mercedes benz 300d_lima_3531,1
80_cadillac eldorado_mike_3903,1
78_peugeot 504_november_3203,1
77_oldsmobile cutlass salon brougham_oscar_3417,1
81_plymouth horizon_papa_2215,1
79_plymouth horizon tc3_quebec_2149,1
78_datsun 210_romeo_2021,1
79_fiat strada custom_sierra_2124,1
79_buick skylark limited_tango_2682,1
79_chevrolet citation_uniform_2607,1
79_oldsmobile omega brougham_victor_2697,1
80_pontiac phoenix_whiskey_2542,1
82_vw rabbit_xray_2151,1
80_toyota corolla tercel_yankee_1964,1
80_chevrolet chevette_zulu_2132,1
79_datsun 310_alpha_2031,1
80_chevrolet citation_bravo_2667,1
79_ford fairmont_charlie_2869,1
80_amc concord_delta_3004,1
80_dodge aspen_echo_3368,0
82_audi 4000_foxtrot_2191,1
80_toyota corona liftback_golf_2722,1
80_mazda 626_hotel_2549,1
80_datsun 510 hatchback_india_2421,1
80_toyota corolla_juliet_2259,1
78_mazda glc_kilo_2123,1
79_dodge colt_lima_2808,1
80_datsun 210_mike_2125,1
79_vw rabbit c (diesel)_november_2081,1
78_vw dasher (diesel)_oscar_2346,1
80_audi 5000s (diesel)_papa_2940,1
80_mercedes-benz 240d_quebec_3246,1
80_honda civic 1500 gl_romeo_1837,1
78_renault lecar deluxe_sierra_1847,1
80_subaru dl_tango_2158,1
79_vokswagen rabbit_uniform_1854,1
82_datsun 280-zx_victor_2909,1
80_mazda rx-7 gs_whiskey_2422,1
80_triumph tr7 coupe_xray_2515,1
80_ford mustang cobra_yankee_2912,1
80_honda accord_zulu_2299,1
83_plymouth reliant_alpha_2496,1
81_buick skylark_bravo_2632,1
80_dodge aries wagon (sw)_charlie_2633,1
79_chevrolet citation_delta_2714,1
82_plymouth reliant_echo_2390,1
79_toyota starlet_foxtrot_1751,1
79_plymouth champ_golf_1868,1
81_honda civic 1300_hotel_1746,1
82_subaru_india_2066,1
79_datsun 210 mpg_juliet_1970,1
81_toyota tercel_kilo_2063,1
81_mazda glc 4_lima_1986,1
81_plymouth horizon 4_mike_2220,1
81_ford escort 4w_november_2043,1
81_ford escort 2h_oscar_2390,1
81_volkswagen jetta_papa_2199,1
81_renault 18i_quebec_2315,1
81_honda prelude_romeo_2205,1
81_toyota corolla_sierra_2355,1
79_datsun 200sx_tango_2622,0
81_mazda 626_uniform_2638,1
82_peugeot 505s turbo diesel_victor_3245,1
81_volvo diesel_whiskey_3149,1
81_toyota cressida_xray_2897,1
81_datsun 810 maxima_yankee_2931,1
81_buick century_zulu_3409,0
81_oldsmobile cutlass ls_alpha_3737,1
82_ford granada gl_bravo_3059,0
81_chrysler lebaron salon_charlie_3458,0
83_chevrolet cavalier_delta_2613,1
82_chevrolet cavalier wagon_echo_2648,1
82_chevrolet cavalier 2-door_foxtrot_2410,1
81_pontiac j2000 se hatchback_golf_2566,1
82_dodge aries se_hotel_2516,1
82_pontiac phoenix_india_2750,1
82_ford fairmont futura_juliet_2861,1
81_volkswagen rabbit l_kilo_1981,1
81_mazda glc custom l_lima_2030,1
82_mazda glc custom_mike_1968,1
82_plymouth horizon miser_november_2116,1
82_mercury lynx l_oscar_2127,1
82_nissan stanza xe_papa_2175,1
82_honda accord_quebec_2213,1
82_toyota corolla_romeo_2248,1
83_honda civic_sierra_1958,1
82_honda civic (auto)_tango_1960,1
82_datsun 310 gx_uniform_1999,1
82_buick century limited_victor_2935,1
81_oldsmobile cutlass ciera (diesel)_whiskey_3014,1
81_chrysler lebaron medallion_xray_2573,1
83_ford granada l_yankee_2829,0
83_toyota celica gt_zulu_2661,1
82_dodge charger 2.2_alpha_2381,1
82_chevrolet camaro_bravo_2944,1
81_ford mustang gl_charlie_2802,1
81_vw pickup_delta_2137,1
82_dodge rampage_echo_2290,1
81_ford ranger_foxtrot_2611,1
84_chevy s-10_golf_2724,1
