ID,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,mpg01,Usage
2408_72_chevrolet vega,20.0,4,140.0,90,2408,19.5,72,1,chevrolet vega,False,Public
2226_72_ford pinto runabout,21.0,4,122.0,86,2226,16.5,72,1,ford pinto runabout,False,Public
4274_72_chevrolet impala,13.0,8,350.0,165,4274,12.0,72,1,chevrolet impala,False,Public
4385_72_pontiac catalina,14.0,8,400.0,175,4385,12.0,72,1,pontiac catalina,False,Public
4135_72_plymouth fury iii,15.0,8,318.0,150,4135,13.5,72,1,plymouth fury iii,False,Public
4129_72_ford galaxie 500,14.0,8,351.0,153,4129,13.0,72,1,ford galaxie 500,False,Public
3672_72_amc ambassador sst,17.0,8,304.0,150,3672,11.5,72,1,amc ambassador sst,False,Public
4633_72_mercury marquis,11.0,8,429.0,208,4633,11.0,72,1,mercury marquis,False,Public
4502_72_buick lesabre custom,13.0,8,350.0,155,4502,13.5,72,1,buick lesabre custom,False,Public
4456_72_oldsmobile delta 88 royale,12.0,8,350.0,160,4456,13.5,72,1,oldsmobile delta 88 royale,False,Public
4422_72_chrysler newport royal,13.0,8,400.0,190,4422,12.5,72,1,chrysler newport royal,False,Public
2330_72_mazda rx2 coupe,19.0,3,70.0,97,2330,13.5,72,3,mazda rx2 coupe,False,Public
3892_72_amc matador (sw),15.0,8,304.0,150,3892,12.5,72,1,amc matador (sw),False,Public
4098_72_chevrolet chevelle concours (sw),13.0,8,307.0,130,4098,14.0,72,1,chevrolet chevelle concours (sw),False,Public
4294_72_ford gran torino (sw),13.0,8,302.0,140,4294,16.0,72,1,ford gran torino (sw),False,Public
4077_72_plymouth satellite custom (sw),14.0,8,318.0,150,4077,14.0,72,1,plymouth satellite custom (sw),False,Public
2933_72_volvo 145e (sw),18.0,4,121.0,112,2933,14.5,72,2,volvo 145e (sw),False,Public
2511_72_volkswagen 411 (sw),22.0,4,121.0,76,2511,18.0,72,2,volkswagen 411 (sw),False,Public
2979_72_peugeot 504 (sw),21.0,4,120.0,87,2979,19.5,72,2,peugeot 504 (sw),False,Public
2189_72_renault 12 (sw),26.0,4,96.0,69,2189,18.0,72,2,renault 12 (sw),True,Public
2395_72_ford pinto (sw),22.0,4,122.0,86,2395,16.0,72,1,ford pinto (sw),False,Public
2288_72_datsun 510 (sw),28.0,4,97.0,92,2288,17.0,72,3,datsun 510 (sw),True,Public
2506_72_toyouta corona mark ii (sw),23.0,4,120.0,97,2506,14.5,72,3,toyouta corona mark ii (sw),False,Public
2164_72_dodge colt (sw),28.0,4,98.0,80,2164,15.0,72,1,dodge colt (sw),True,Public
2100_72_toyota corolla 1600 (sw),27.0,4,97.0,88,2100,16.5,72,3,toyota corolla 1600 (sw),True,Public
4100_73_buick century 350,13.0,8,350.0,175,4100,13.0,73,1,buick century 350,False,Public
3672_73_amc matador,14.0,8,304.0,150,3672,11.5,73,1,amc matador,False,Public
3988_73_chevrolet malibu,13.0,8,350.0,145,3988,13.0,73,1,chevrolet malibu,False,Public
4042_73_ford gran torino,14.0,8,302.0,137,4042,14.5,73,1,ford gran torino,False,Public
3777_73_dodge coronet custom,15.0,8,318.0,150,3777,12.5,73,1,dodge coronet custom,False,Public
4952_73_mercury marquis brougham,12.0,8,429.0,198,4952,11.5,73,1,mercury marquis brougham,False,Public
4464_73_chevrolet caprice classic,13.0,8,400.0,150,4464,12.0,73,1,chevrolet caprice classic,False,Public
4363_73_ford ltd,13.0,8,351.0,158,4363,13.0,73,1,ford ltd,False,Public
4237_73_plymouth fury gran sedan,14.0,8,318.0,150,4237,14.5,73,1,plymouth fury gran sedan,False,Public
4735_73_chrysler new yorker brougham,13.0,8,440.0,215,4735,11.0,73,1,chrysler new yorker brougham,False,Public
4951_73_buick electra 225 custom,12.0,8,455.0,225,4951,11.0,73,1,buick electra 225 custom,False,Public
3821_73_amc ambassador brougham,13.0,8,360.0,175,3821,11.0,73,1,amc ambassador brougham,False,Public
3121_73_plymouth valiant,18.0,6,225.0,105,3121,16.5,73,1,plymouth valiant,False,Public
3278_73_chevrolet nova custom,16.0,6,250.0,100,3278,18.0,73,1,chevrolet nova custom,False,Public
2945_73_amc hornet,18.0,6,232.0,100,2945,16.0,73,1,amc hornet,False,Public
3021_73_ford maverick,18.0,6,250.0,88,3021,16.5,73,1,ford maverick,False,Public
2904_73_plymouth duster,23.0,6,198.0,95,2904,16.0,73,1,plymouth duster,False,Public
1950_73_volkswagen super beetle,26.0,4,97.0,46,1950,21.0,73,2,volkswagen super beetle,True,Public
4997_73_chevrolet impala,11.0,8,400.0,150,4997,14.0,73,1,chevrolet impala,False,Public
4906_73_ford country,12.0,8,400.0,167,4906,12.5,73,1,ford country,False,Public
4654_73_plymouth custom suburb,13.0,8,360.0,170,4654,13.0,73,1,plymouth custom suburb,False,Public
4499_73_oldsmobile vista cruiser,12.0,8,350.0,180,4499,12.5,73,1,oldsmobile vista cruiser,False,Public
2789_73_amc gremlin,18.0,6,232.0,100,2789,15.0,73,1,amc gremlin,False,Public
2279_73_toyota carina,20.0,4,97.0,88,2279,19.0,73,3,toyota carina,False,Public
2401_73_chevrolet vega,21.0,4,140.0,72,2401,19.5,73,1,chevrolet vega,False,Public
2379_73_datsun 610,22.0,4,108.0,94,2379,16.5,73,3,datsun 610,False,Public
2124_73_maxda rx3,18.0,3,70.0,90,2124,13.5,73,3,maxda rx3,False,Public
2310_73_ford pinto,19.0,4,122.0,85,2310,18.5,73,1,ford pinto,False,Public
2472_73_mercury capri v6,21.0,6,155.0,107,2472,14.0,73,1,mercury capri v6,False,Public
2265_73_fiat 124 sport coupe,26.0,4,98.0,90,2265,15.5,73,2,fiat 124 sport coupe,True,Public
4082_73_chevrolet monte carlo s,15.0,8,350.0,145,4082,13.0,73,1,chevrolet monte carlo s,False,Public
4278_73_pontiac grand prix,16.0,8,400.0,230,4278,9.5,73,1,pontiac grand prix,False,Public
1867_73_fiat 128,29.0,4,68.0,49,1867,19.5,73,2,fiat 128,True,Public
2158_73_opel manta,24.0,4,116.0,75,2158,15.5,73,2,opel manta,True,Public
2582_73_audi 100ls,20.0,4,114.0,91,2582,14.0,73,2,audi 100ls,False,Public
2868_73_volvo 144ea,19.0,4,121.0,112,2868,15.5,73,2,volvo 144ea,False,Public
3399_73_dodge dart custom,15.0,8,318.0,150,3399,11.0,73,1,dodge dart custom,False,Public
2660_73_saab 99le,24.0,4,121.0,110,2660,14.0,73,2,saab 99le,True,Public
2807_73_toyota mark ii,20.0,6,156.0,122,2807,13.5,73,3,toyota mark ii,False,Public
3664_73_oldsmobile omega,11.0,8,350.0,180,3664,11.0,73,1,oldsmobile omega,False,Public
3102_74_plymouth duster,20.0,6,198.0,95,3102,16.5,74,1,plymouth duster,False,Public
2875_74_ford maverick,21.0,6,200.0,?,2875,17.0,74,1,ford maverick,False,Public
2901_74_amc hornet,19.0,6,232.0,100,2901,16.0,74,1,amc hornet,False,Public
3336_74_chevrolet nova,15.0,6,250.0,100,3336,17.0,74,1,chevrolet nova,False,Public
1950_74_datsun b210,31.0,4,79.0,67,1950,19.0,74,3,datsun b210,True,Public
2451_74_ford pinto,26.0,4,122.0,80,2451,16.5,74,1,ford pinto,True,Public
1836_74_toyota corolla 1200,32.0,4,71.0,65,1836,21.0,74,3,toyota corolla 1200,True,Public
2542_74_chevrolet vega,25.0,4,140.0,75,2542,17.0,74,1,chevrolet vega,True,Public
3781_74_chevrolet chevelle malibu classic,16.0,6,250.0,100,3781,17.0,74,1,chevrolet chevelle malibu classic,False,Public
3632_74_amc matador,16.0,6,258.0,110,3632,18.0,74,1,amc matador,False,Public
3613_74_plymouth satellite sebring,18.0,6,225.0,105,3613,16.5,74,1,plymouth satellite sebring,False,Public
4141_74_ford gran torino,16.0,8,302.0,140,4141,14.0,74,1,ford gran torino,False,Public
4699_74_buick century luxus (sw),13.0,8,350.0,150,4699,14.5,74,1,buick century luxus (sw),False,Public
4457_74_dodge coronet custom (sw),14.0,8,318.0,150,4457,13.5,74,1,dodge coronet custom (sw),False,Public
4638_74_ford gran torino (sw),14.0,8,302.0,140,4638,16.0,74,1,ford gran torino (sw),False,Public
4257_74_amc matador (sw),14.0,8,304.0,150,4257,15.5,74,1,amc matador (sw),False,Public
2219_74_audi fox,29.0,4,98.0,83,2219,16.5,74,2,audi fox,True,Public
1963_74_volkswagen dasher,26.0,4,79.0,67,1963,15.5,74,2,volkswagen dasher,True,Public
2300_74_opel manta,26.0,4,97.0,78,2300,14.5,74,2,opel manta,True,Public
1649_74_toyota corona,31.0,4,76.0,52,1649,16.5,74,3,toyota corona,True,Public
2003_74_datsun 710,32.0,4,83.0,61,2003,19.0,74,3,datsun 710,True,Public
2125_74_dodge colt,28.0,4,90.0,75,2125,14.5,74,1,dodge colt,True,Public
2108_74_fiat 128,24.0,4,90.0,75,2108,15.5,74,2,fiat 128,True,Public
2246_74_fiat 124 tc,26.0,4,116.0,75,2246,14.0,74,2,fiat 124 tc,True,Public
2489_74_honda civic,24.0,4,120.0,97,2489,15.0,74,3,honda civic,True,Public
2391_74_subaru,26.0,4,108.0,93,2391,15.5,74,3,subaru,True,Public
2000_74_fiat x1.9,31.0,4,79.0,67,2000,16.0,74,2,fiat x1.9,True,Public
3264_75_plymouth valiant custom,19.0,6,225.0,95,3264,16.0,75,1,plymouth valiant custom,False,Public
3459_75_chevrolet nova,18.0,6,250.0,105,3459,16.0,75,1,chevrolet nova,False,Public
3432_75_mercury monarch,15.0,6,250.0,72,3432,21.0,75,1,mercury monarch,False,Public
3158_75_ford maverick,15.0,6,250.0,72,3158,19.5,75,1,ford maverick,False,Public
4668_75_pontiac catalina,16.0,8,400.0,170,4668,11.5,75,1,pontiac catalina,False,Public
4440_75_chevrolet bel air,15.0,8,350.0,145,4440,14.0,75,1,chevrolet bel air,False,Public
4498_75_plymouth grand fury,16.0,8,318.0,150,4498,14.5,75,1,plymouth grand fury,False,Public
4657_75_ford ltd,14.0,8,351.0,148,4657,13.5,75,1,ford ltd,False,Public
3907_75_buick century,17.0,6,231.0,110,3907,21.0,75,1,buick century,False,Public
3897_75_chevroelt chevelle malibu,16.0,6,250.0,105,3897,18.5,75,1,chevroelt chevelle malibu,False,Public
3730_75_amc matador,15.0,6,258.0,110,3730,19.0,75,1,amc matador,False,Public
3785_75_plymouth fury,18.0,6,225.0,95,3785,19.0,75,1,plymouth fury,False,Public
3039_75_buick skyhawk,21.0,6,231.0,110,3039,15.0,75,1,buick skyhawk,False,Public
3221_75_chevrolet monza 2+2,20.0,8,262.0,110,3221,13.5,75,1,chevrolet monza 2+2,False,Public
3169_75_ford mustang ii,13.0,8,302.0,129,3169,12.0,75,1,ford mustang ii,False,Public
2171_75_toyota corolla,29.0,4,97.0,75,2171,16.0,75,3,toyota corolla,True,Public
2639_75_ford pinto,23.0,4,140.0,83,2639,17.0,75,1,ford pinto,False,Public
2914_75_amc gremlin,20.0,6,232.0,100,2914,16.0,75,1,amc gremlin,False,Public
2592_75_pontiac astro,23.0,4,140.0,78,2592,18.5,75,1,pontiac astro,False,Public
2702_75_toyota corona,24.0,4,134.0,96,2702,13.5,75,3,toyota corona,True,Public
2223_75_volkswagen dasher,25.0,4,90.0,71,2223,16.5,75,2,volkswagen dasher,True,Public
2545_75_datsun 710,24.0,4,119.0,97,2545,17.0,75,3,datsun 710,True,Public
2984_75_ford pinto,18.0,6,171.0,97,2984,14.5,75,1,ford pinto,False,Public
1937_75_volkswagen rabbit,29.0,4,90.0,70,1937,14.0,75,2,volkswagen rabbit,True,Public
3211_75_amc pacer,19.0,6,232.0,90,3211,17.0,75,1,amc pacer,False,Public
2694_75_audi 100ls,23.0,4,115.0,95,2694,15.0,75,2,audi 100ls,False,Public
2957_75_peugeot 504,23.0,4,120.0,88,2957,17.0,75,2,peugeot 504,False,Public
2945_75_volvo 244dl,22.0,4,121.0,98,2945,14.5,75,2,volvo 244dl,False,Public
2671_75_saab 99le,25.0,4,121.0,115,2671,13.5,75,2,saab 99le,True,Public
1795_75_honda civic cvcc,33.0,4,91.0,53,1795,17.5,75,3,honda civic cvcc,True,Public
2464_76_fiat 131,28.0,4,107.0,86,2464,15.5,76,2,fiat 131,True,Public
2220_76_opel 1900,25.0,4,116.0,81,2220,16.9,76,2,opel 1900,True,Public
2572_76_capri ii,25.0,4,140.0,92,2572,14.9,76,1,capri ii,True,Public
2255_76_dodge colt,26.0,4,98.0,79,2255,17.7,76,1,dodge colt,True,Public
2202_76_renault 12tl,27.0,4,101.0,83,2202,15.3,76,2,renault 12tl,True,Public
4215_76_chevrolet chevelle malibu classic,17.5,8,305.0,140,4215,13.0,76,1,chevrolet chevelle malibu classic,False,Public
4190_76_dodge coronet brougham,16.0,8,318.0,150,4190,13.0,76,1,dodge coronet brougham,False,Public
3962_76_amc matador,15.5,8,304.0,120,3962,13.9,76,1,amc matador,False,Public
4215_76_ford gran torino,14.5,8,351.0,152,4215,12.8,76,1,ford gran torino,False,Public
3233_76_plymouth valiant,22.0,6,225.0,100,3233,15.4,76,1,plymouth valiant,False,Public
3353_76_chevrolet nova,22.0,6,250.0,105,3353,14.5,76,1,chevrolet nova,False,Public
3012_76_ford maverick,24.0,6,200.0,81,3012,17.6,76,1,ford maverick,True,Public
3085_76_amc hornet,22.5,6,232.0,90,3085,17.6,76,1,amc hornet,False,Public
2035_76_chevrolet chevette,29.0,4,85.0,52,2035,22.2,76,1,chevrolet chevette,True,Public
2164_76_chevrolet woody,24.5,4,98.0,60,2164,22.1,76,1,chevrolet woody,True,Public
1937_76_vw rabbit,29.0,4,90.0,70,1937,14.2,76,2,vw rabbit,True,Public
1795_76_honda civic,33.0,4,91.0,53,1795,17.4,76,3,honda civic,True,Public
3651_76_dodge aspen se,20.0,6,225.0,100,3651,17.7,76,1,dodge aspen se,False,Public
3574_76_ford granada ghia,18.0,6,250.0,78,3574,21.0,76,1,ford granada ghia,False,Public
3645_76_pontiac ventura sj,18.5,6,250.0,110,3645,16.2,76,1,pontiac ventura sj,False,Public
3193_76_amc pacer d/l,17.5,6,258.0,95,3193,17.8,76,1,amc pacer d/l,False,Public
1825_76_volkswagen rabbit,29.5,4,97.0,71,1825,12.2,76,2,volkswagen rabbit,True,Public
1990_76_datsun b-210,32.0,4,85.0,70,1990,17.0,76,3,datsun b-210,True,Public
2155_76_toyota corolla,28.0,4,97.0,75,2155,16.4,76,3,toyota corolla,True,Public
2565_76_ford pinto,26.5,4,140.0,72,2565,13.6,76,1,ford pinto,True,Public
3150_76_volvo 245,20.0,4,130.0,102,3150,15.7,76,2,volvo 245,False,Public
3940_76_plymouth volare premier v8,13.0,8,318.0,150,3940,13.2,76,1,plymouth volare premier v8,False,Public
3270_76_peugeot 504,19.0,4,120.0,88,3270,21.9,76,2,peugeot 504,False,Public
2930_76_toyota mark ii,19.0,6,156.0,108,2930,15.5,76,3,toyota mark ii,False,Public
3820_76_mercedes-benz 280s,16.5,6,168.0,120,3820,16.7,76,2,mercedes-benz 280s,False,Public
4380_76_cadillac seville,16.5,8,350.0,180,4380,12.1,76,1,cadillac seville,False,Public
4055_76_chevy c10,13.0,8,350.0,145,4055,12.0,76,1,chevy c10,False,Public
3870_76_ford f108,13.0,8,302.0,130,3870,15.0,76,1,ford f108,False,Public
3755_76_dodge d100,13.0,8,318.0,150,3755,14.0,76,1,dodge d100,False,Public
2045_77_honda accord cvcc,31.5,4,98.0,68,2045,18.5,77,3,honda accord cvcc,True,Public
2155_77_buick opel isuzu deluxe,30.0,4,111.0,80,2155,14.8,77,1,buick opel isuzu deluxe,True,Public
1825_77_renault 5 gtl,36.0,4,79.0,58,1825,18.6,77,2,renault 5 gtl,True,Public
2300_77_plymouth arrow gs,25.5,4,122.0,96,2300,15.5,77,1,plymouth arrow gs,True,Public
1945_77_datsun f-10 hatchback,33.5,4,85.0,70,1945,16.8,77,3,datsun f-10 hatchback,True,Public
3880_77_chevrolet caprice classic,17.5,8,305.0,145,3880,12.5,77,1,chevrolet caprice classic,False,Public
4060_77_oldsmobile cutlass supreme,17.0,8,260.0,110,4060,19.0,77,1,oldsmobile cutlass supreme,False,Public
4140_77_dodge monaco brougham,15.5,8,318.0,145,4140,13.7,77,1,dodge monaco brougham,False,Public
4295_77_mercury cougar brougham,15.0,8,302.0,130,4295,14.9,77,1,mercury cougar brougham,False,Public
3520_77_chevrolet concours,17.5,6,250.0,110,3520,16.4,77,1,chevrolet concours,False,Public
3425_77_buick skylark,20.5,6,231.0,105,3425,16.9,77,1,buick skylark,False,Public
3630_77_plymouth volare custom,19.0,6,225.0,100,3630,17.7,77,1,plymouth volare custom,False,Public
3525_77_ford granada,18.5,6,250.0,98,3525,19.0,77,1,ford granada,False,Public
4220_77_pontiac grand prix lj,16.0,8,400.0,180,4220,11.1,77,1,pontiac grand prix lj,False,Public
4165_77_chevrolet monte carlo landau,15.5,8,350.0,170,4165,11.4,77,1,chevrolet monte carlo landau,False,Public
4325_77_chrysler cordoba,15.5,8,400.0,190,4325,12.2,77,1,chrysler cordoba,False,Public
4335_77_ford thunderbird,16.0,8,351.0,149,4335,14.5,77,1,ford thunderbird,False,Public
1940_77_volkswagen rabbit custom,29.0,4,97.0,78,1940,14.5,77,2,volkswagen rabbit custom,True,Public
2740_77_pontiac sunbird coupe,24.5,4,151.0,88,2740,16.0,77,1,pontiac sunbird coupe,True,Public
2265_77_toyota corolla liftback,26.0,4,97.0,75,2265,18.2,77,3,toyota corolla liftback,True,Public
2755_77_ford mustang ii 2+2,25.5,4,140.0,89,2755,15.8,77,1,ford mustang ii 2+2,True,Public
2051_77_chevrolet chevette,30.5,4,98.0,63,2051,17.0,77,1,chevrolet chevette,True,Public
2075_77_dodge colt m/m,33.5,4,98.0,83,2075,15.9,77,1,dodge colt m/m,True,Public
1985_77_subaru dl,30.0,4,97.0,67,1985,16.4,77,3,subaru dl,True,Public
2190_77_volkswagen dasher,30.5,4,97.0,78,2190,14.1,77,2,volkswagen dasher,True,Public
2815_77_datsun 810,22.0,6,146.0,97,2815,14.5,77,3,datsun 810,False,Public
2600_77_bmw 320i,21.5,4,121.0,110,2600,12.8,77,2,bmw 320i,False,Public
2720_77_mazda rx-4,21.5,3,80.0,110,2720,13.5,77,3,mazda rx-4,False,Public
1985_78_volkswagen rabbit custom diesel,43.1,4,90.0,48,1985,21.5,78,2,volkswagen rabbit custom diesel,True,Public
1800_78_ford fiesta,36.1,4,98.0,66,1800,14.4,78,1,ford fiesta,True,Public
1985_78_mazda glc deluxe,32.8,4,78.0,52,1985,19.4,78,3,mazda glc deluxe,True,Public
2070_78_datsun b210 gx,39.4,4,85.0,70,2070,18.6,78,3,datsun b210 gx,True,Public
1800_78_honda civic cvcc,36.1,4,91.0,60,1800,16.4,78,3,honda civic cvcc,True,Public
3365_78_oldsmobile cutlass salon brougham,19.9,8,260.0,110,3365,15.5,78,1,oldsmobile cutlass salon brougham,False,Public
3735_78_dodge diplomat,19.4,8,318.0,140,3735,13.2,78,1,dodge diplomat,False,Public
3570_78_mercury monarch ghia,20.2,8,302.0,139,3570,12.8,78,1,mercury monarch ghia,False,Public
3535_78_pontiac phoenix lj,19.2,6,231.0,105,3535,19.2,78,1,pontiac phoenix lj,False,Public
3155_78_chevrolet malibu,20.5,6,200.0,95,3155,18.2,78,1,chevrolet malibu,False,Public
2965_78_ford fairmont (auto),20.2,6,200.0,85,2965,15.8,78,1,ford fairmont (auto),False,Public
2720_78_ford fairmont (man),25.1,4,140.0,88,2720,15.4,78,1,ford fairmont (man),True,Public
3430_78_plymouth volare,20.5,6,225.0,100,3430,17.2,78,1,plymouth volare,False,Public
3210_78_amc concord,19.4,6,232.0,90,3210,17.2,78,1,amc concord,False,Public
3380_78_buick century special,20.6,6,231.0,105,3380,15.8,78,1,buick century special,False,Public
3070_78_mercury zephyr,20.8,6,200.0,85,3070,16.7,78,1,mercury zephyr,False,Public
3620_78_dodge aspen,18.6,6,225.0,110,3620,18.7,78,1,dodge aspen,False,Public
3410_78_amc concord d/l,18.1,6,258.0,120,3410,15.1,78,1,amc concord d/l,False,Public
3425_78_chevrolet monte carlo landau,19.2,8,305.0,145,3425,13.2,78,1,chevrolet monte carlo landau,False,Public
3445_78_buick regal sport coupe (turbo),17.7,6,231.0,165,3445,13.4,78,1,buick regal sport coupe (turbo),False,Public
3205_78_ford futura,18.1,8,302.0,139,3205,11.2,78,1,ford futura,False,Public
4080_78_dodge magnum xe,17.5,8,318.0,140,4080,13.7,78,1,dodge magnum xe,False,Public
2155_78_chevrolet chevette,30.0,4,98.0,68,2155,16.5,78,1,chevrolet chevette,True,Public
2560_78_toyota corona,27.5,4,134.0,95,2560,14.2,78,3,toyota corona,True,Public
2300_78_datsun 510,27.2,4,119.0,97,2300,14.7,78,3,datsun 510,True,Public
2230_78_dodge omni,30.9,4,105.0,75,2230,14.5,78,1,dodge omni,True,Public
2515_78_toyota celica gt liftback,21.1,4,134.0,95,2515,14.8,78,3,toyota celica gt liftback,False,Public
2745_78_plymouth sapporo,23.2,4,156.0,105,2745,16.7,78,1,plymouth sapporo,True,Public
2855_78_oldsmobile starfire sx,23.8,4,151.0,85,2855,17.6,78,1,oldsmobile starfire sx,True,Public
2405_78_datsun 200-sx,23.9,4,119.0,97,2405,14.9,78,3,datsun 200-sx,True,Public
2830_78_audi 5000,20.3,5,131.0,103,2830,15.9,78,2,audi 5000,False,Public
3140_78_volvo 264gl,17.0,6,163.0,125,3140,13.6,78,2,volvo 264gl,False,Public
2795_78_saab 99gle,21.6,4,121.0,115,2795,15.7,78,2,saab 99gle,False,Public
3410_78_peugeot 604sl,16.2,6,163.0,133,3410,15.8,78,2,peugeot 604sl,False,Public
