ID,mpg01
77_volkswagen rabbit custom_1940,True
77_pontiac sunbird coupe_2740,True
77_toyota corolla liftback_2265,True
77_ford mustang ii 2+2_2755,True
77_chevrolet chevette_2051,True
77_dodge colt m/m_2075,True
77_subaru dl_1985,True
77_volkswagen dasher_2190,True
77_datsun 810_2815,False
77_bmw 320i_2600,False
77_mazda rx-4_2720,False
78_volkswagen rabbit custom diesel_1985,True
78_ford fiesta_1800,True
78_mazda glc deluxe_1985,True
78_datsun b210 gx_2070,True
78_honda civic cvcc_1800,True
78_oldsmobile cutlass salon brougham_3365,False
78_dodge diplomat_3735,False
78_mercury monarch ghia_3570,False
78_pontiac phoenix lj_3535,False
78_chevrolet malibu_3155,False
78_ford fairmont (auto)_2965,False
78_ford fairmont (man)_2720,True
78_plymouth volare_3430,False
78_amc concord_3210,False
78_buick century special_3380,False
78_mercury zephyr_3070,False
78_dodge aspen_3620,False
78_amc concord d/l_3410,False
78_chevrolet monte carlo landau_3425,False
78_buick regal sport coupe (turbo)_3445,False
78_ford futura_3205,False
78_dodge magnum xe_4080,False
78_chevrolet chevette_2155,True
78_toyota corona_2560,True
78_datsun 510_2300,True
78_dodge omni_2230,True
78_toyota celica gt liftback_2515,False
78_plymouth sapporo_2745,True
78_oldsmobile starfire sx_2855,True
78_datsun 200-sx_2405,True
78_audi 5000_2830,False
78_volvo 264gl_3140,False
78_saab 99gle_2795,False
78_peugeot 604sl_3410,False
78_volkswagen scirocco_1990,True
78_honda accord lx_2135,True
79_pontiac lemans v6_3245,False
79_mercury zephyr 6_2990,False
79_ford fairmont 4_2890,False
79_amc concord dl 6_3265,False
79_dodge aspen 6_3360,False
79_chevrolet caprice classic_3840,False
79_ford ltd landau_3725,False
79_mercury grand marquis_3955,False
79_dodge st. regis_3830,False
79_buick estate wagon (sw)_4360,False
79_ford country squire (sw)_4054,False
79_chevrolet malibu classic (sw)_3605,False
79_chrysler lebaron town @ country (sw)_3940,False
79_vw rabbit custom_1925,True
79_maxda glc deluxe_1975,True
79_dodge colt hatchback custom_1915,True
79_amc spirit dl_2670,True
79_mercedes benz 300d_3530,True
79_cadillac eldorado_3900,False
79_peugeot 504_3190,True
79_oldsmobile cutlass salon brougham_3420,True
79_plymouth horizon_2200,True
79_plymouth horizon tc3_2150,True
79_datsun 210_2020,True
79_fiat strada custom_2130,True
79_buick skylark limited_2670,True
79_chevrolet citation_2595,True
79_oldsmobile omega brougham_2700,True
79_pontiac phoenix_2556,True
80_vw rabbit_2144,True
80_toyota corolla tercel_1968,True
80_chevrolet chevette_2120,True
80_datsun 310_2019,True
80_chevrolet citation_2678,True
80_ford fairmont_2870,True
80_amc concord_3003,True
80_dodge aspen_3381,False
80_audi 4000_2188,True
80_toyota corona liftback_2711,True
80_mazda 626_2542,True
80_datsun 510 hatchback_2434,True
80_toyota corolla_2265,True
80_mazda glc_2110,True
80_dodge colt_2800,True
80_datsun 210_2110,True
80_vw rabbit c (diesel)_2085,True
80_vw dasher (diesel)_2335,True
80_audi 5000s (diesel)_2950,True
80_mercedes-benz 240d_3250,True
80_honda civic 1500 gl_1850,True
80_renault lecar deluxe_1835,True
80_subaru dl_2145,True
80_vokswagen rabbit_1845,True
80_datsun 280-zx_2910,True
80_mazda rx-7 gs_2420,True
80_triumph tr7 coupe_2500,True
80_ford mustang cobra_2905,True
80_honda accord_2290,True
81_plymouth reliant_2490,True
81_buick skylark_2635,True
81_dodge aries wagon (sw)_2620,True
81_chevrolet citation_2725,True
81_plymouth reliant_2385,True
81_toyota starlet_1755,True
81_plymouth champ_1875,True
81_honda civic 1300_1760,True
81_subaru_2065,True
81_datsun 210 mpg_1975,True
81_toyota tercel_2050,True
81_mazda glc 4_1985,True
81_plymouth horizon 4_2215,True
81_ford escort 4w_2045,True
81_ford escort 2h_2380,True
81_volkswagen jetta_2190,True
81_renault 18i_2320,True
81_honda prelude_2210,True
81_toyota corolla_2350,True
81_datsun 200sx_2615,True
81_mazda 626_2635,True
81_peugeot 505s turbo diesel_3230,True
81_volvo diesel_3160,True
81_toyota cressida_2900,True
81_datsun 810 maxima_2930,True
81_buick century_3415,False
81_oldsmobile cutlass ls_3725,True
81_ford granada gl_3060,False
81_chrysler lebaron salon_3465,False
82_chevrolet cavalier_2605,True
82_chevrolet cavalier wagon_2640,True
82_chevrolet cavalier 2-door_2395,True
82_pontiac j2000 se hatchback_2575,True
82_dodge aries se_2525,True
82_pontiac phoenix_2735,True
82_ford fairmont futura_2865,True
82_volkswagen rabbit l_1980,True
82_mazda glc custom l_2025,True
82_mazda glc custom_1970,True
82_plymouth horizon miser_2125,True
82_mercury lynx l_2125,True
82_nissan stanza xe_2160,True
82_honda accord_2205,True
82_toyota corolla_2245,True
82_honda civic_1965,True
82_honda civic (auto)_1965,True
82_datsun 310 gx_1995,True
82_buick century limited_2945,True
82_oldsmobile cutlass ciera (diesel)_3015,True
82_chrysler lebaron medallion_2585,True
82_ford granada l_2835,False
82_toyota celica gt_2665,True
82_dodge charger 2.2_2370,True
82_chevrolet camaro_2950,True
82_ford mustang gl_2790,True
82_vw pickup_2130,True
82_dodge rampage_2295,True
82_ford ranger_2625,True
82_chevy s-10_2720,True
