ID,mpg01,Usage
72_ford pinto runabout_2226,False,Public
72_chevrolet impala_4274,False,Public
72_pontiac catalina_4385,False,Public
72_plymouth fury iii_4135,False,Public
72_ford galaxie 500_4129,False,Public
72_amc ambassador sst_3672,False,Public
72_mercury marquis_4633,False,Public
72_buick lesabre custom_4502,False,Public
72_oldsmobile delta 88 royale_4456,False,Public
72_chrysler newport royal_4422,False,Public
72_mazda rx2 coupe_2330,False,Public
72_amc matador (sw)_3892,False,Public
72_chevrolet chevelle concours (sw)_4098,False,Public
72_ford gran torino (sw)_4294,False,Public
72_plymouth satellite custom (sw)_4077,False,Public
72_volvo 145e (sw)_2933,False,Public
72_volkswagen 411 (sw)_2511,False,Public
72_peugeot 504 (sw)_2979,False,Public
72_renault 12 (sw)_2189,True,Public
72_ford pinto (sw)_2395,False,Public
72_datsun 510 (sw)_2288,True,Public
72_toyouta corona mark ii (sw)_2506,False,Public
72_dodge colt (sw)_2164,True,Public
72_toyota corolla 1600 (sw)_2100,True,Public
73_buick century 350_4100,False,Public
73_amc matador_3672,False,Public
73_chevrolet malibu_3988,False,Public
73_ford gran torino_4042,False,Public
73_dodge coronet custom_3777,False,Public
73_mercury marquis brougham_4952,False,Public
73_chevrolet caprice classic_4464,False,Public
73_ford ltd_4363,False,Public
73_plymouth fury gran sedan_4237,False,Public
73_chrysler new yorker brougham_4735,False,Public
73_buick electra 225 custom_4951,False,Public
73_amc ambassador brougham_3821,False,Public
73_plymouth valiant_3121,False,Public
73_chevrolet nova custom_3278,False,Public
73_amc hornet_2945,False,Public
73_ford maverick_3021,False,Public
73_plymouth duster_2904,False,Public
73_volkswagen super beetle_1950,True,Public
73_chevrolet impala_4997,False,Public
73_ford country_4906,False,Public
73_plymouth custom suburb_4654,False,Public
73_oldsmobile vista cruiser_4499,False,Public
73_amc gremlin_2789,False,Public
73_toyota carina_2279,False,Public
73_chevrolet vega_2401,False,Public
73_datsun 610_2379,False,Public
73_maxda rx3_2124,False,Public
73_ford pinto_2310,False,Public
73_mercury capri v6_2472,False,Public
73_fiat 124 sport coupe_2265,True,Public
73_chevrolet monte carlo s_4082,False,Public
73_pontiac grand prix_4278,False,Public
73_fiat 128_1867,True,Public
73_opel manta_2158,True,Public
73_audi 100ls_2582,False,Public
73_volvo 144ea_2868,False,Public
73_dodge dart custom_3399,False,Public
73_saab 99le_2660,True,Public
73_toyota mark ii_2807,False,Public
73_oldsmobile omega_3664,False,Public
74_plymouth duster_3102,False,Public
74_ford maverick_2875,False,Public
74_amc hornet_2901,False,Public
74_chevrolet nova_3336,False,Public
74_datsun b210_1950,True,Public
74_ford pinto_2451,True,Public
74_toyota corolla 1200_1836,True,Public
74_chevrolet vega_2542,True,Public
74_chevrolet chevelle malibu classic_3781,False,Public
74_amc matador_3632,False,Public
74_plymouth satellite sebring_3613,False,Public
74_ford gran torino_4141,False,Public
74_buick century luxus (sw)_4699,False,Public
74_dodge coronet custom (sw)_4457,False,Public
74_ford gran torino (sw)_4638,False,Public
74_amc matador (sw)_4257,False,Public
74_audi fox_2219,True,Public
74_volkswagen dasher_1963,True,Public
74_opel manta_2300,True,Public
74_toyota corona_1649,True,Public
74_datsun 710_2003,True,Public
74_dodge colt_2125,True,Public
74_fiat 128_2108,True,Public
74_fiat 124 tc_2246,True,Public
74_honda civic_2489,True,Public
74_subaru_2391,True,Public
74_fiat x1.9_2000,True,Public
75_plymouth valiant custom_3264,False,Public
75_chevrolet nova_3459,False,Public
75_mercury monarch_3432,False,Public
75_ford maverick_3158,False,Public
75_pontiac catalina_4668,False,Public
75_chevrolet bel air_4440,False,Public
75_plymouth grand fury_4498,False,Public
75_ford ltd_4657,False,Public
75_buick century_3907,False,Public
75_chevroelt chevelle malibu_3897,False,Public
75_amc matador_3730,False,Public
75_plymouth fury_3785,False,Public
75_buick skyhawk_3039,False,Public
75_chevrolet monza 2+2_3221,False,Public
75_ford mustang ii_3169,False,Public
75_toyota corolla_2171,True,Public
75_ford pinto_2639,False,Public
75_amc gremlin_2914,False,Public
75_pontiac astro_2592,False,Public
75_toyota corona_2702,True,Public
75_volkswagen dasher_2223,True,Public
75_datsun 710_2545,True,Public
75_ford pinto_2984,False,Public
75_volkswagen rabbit_1937,True,Public
75_amc pacer_3211,False,Public
75_audi 100ls_2694,False,Public
75_peugeot 504_2957,False,Public
75_volvo 244dl_2945,False,Public
75_saab 99le_2671,True,Public
75_honda civic cvcc_1795,True,Public
76_fiat 131_2464,True,Public
76_opel 1900_2220,True,Public
76_capri ii_2572,True,Public
76_dodge colt_2255,True,Public
76_renault 12tl_2202,True,Public
76_chevrolet chevelle malibu classic_4215,False,Public
76_dodge coronet brougham_4190,False,Public
76_amc matador_3962,False,Public
76_ford gran torino_4215,False,Public
76_plymouth valiant_3233,False,Public
76_chevrolet nova_3353,False,Public
76_ford maverick_3012,True,Public
76_amc hornet_3085,False,Public
76_chevrolet chevette_2035,True,Public
76_chevrolet woody_2164,True,Public
76_vw rabbit_1937,True,Public
76_honda civic_1795,True,Public
76_dodge aspen se_3651,False,Public
76_ford granada ghia_3574,False,Public
76_pontiac ventura sj_3645,False,Public
76_amc pacer d/l_3193,False,Public
76_volkswagen rabbit_1825,True,Public
76_datsun b-210_1990,True,Public
76_toyota corolla_2155,True,Public
76_ford pinto_2565,True,Public
76_volvo 245_3150,False,Public
76_plymouth volare premier v8_3940,False,Public
76_peugeot 504_3270,False,Public
76_toyota mark ii_2930,False,Public
76_mercedes-benz 280s_3820,False,Public
76_cadillac seville_4380,False,Public
76_chevy c10_4055,False,Public
76_ford f108_3870,False,Public
76_dodge d100_3755,False,Public
77_honda accord cvcc_2045,True,Public
77_buick opel isuzu deluxe_2155,True,Public
77_renault 5 gtl_1825,True,Public
77_plymouth arrow gs_2300,True,Public
77_datsun f-10 hatchback_1945,True,Public
77_chevrolet caprice classic_3880,False,Public
77_oldsmobile cutlass supreme_4060,False,Public
77_dodge monaco brougham_4140,False,Public
77_mercury cougar brougham_4295,False,Public
77_chevrolet concours_3520,False,Public
77_buick skylark_3425,False,Public
77_plymouth volare custom_3630,False,Public
77_ford granada_3525,False,Public
77_pontiac grand prix lj_4220,False,Public
77_chevrolet monte carlo landau_4165,False,Public
77_chrysler cordoba_4325,False,Public
77_ford thunderbird_4335,False,Public
77_volkswagen rabbit custom_1940,True,Public
77_pontiac sunbird coupe_2740,True,Public
77_toyota corolla liftback_2265,True,Public
77_ford mustang ii 2+2_2755,True,Public
77_chevrolet chevette_2051,True,Public
77_dodge colt m/m_2075,True,Public
77_subaru dl_1985,True,Public
77_volkswagen dasher_2190,True,Public
77_datsun 810_2815,False,Public
77_bmw 320i_2600,False,Public
77_mazda rx-4_2720,False,Public
78_volkswagen rabbit custom diesel_1985,True,Public
78_ford fiesta_1800,True,Public
78_mazda glc deluxe_1985,True,Public
78_datsun b210 gx_2070,True,Public
78_honda civic cvcc_1800,True,Public
78_oldsmobile cutlass salon brougham_3365,False,Public
78_dodge diplomat_3735,False,Public
78_mercury monarch ghia_3570,False,Public
78_pontiac phoenix lj_3535,False,Public
78_chevrolet malibu_3155,False,Public
78_ford fairmont (auto)_2965,False,Public
78_ford fairmont (man)_2720,True,Public
78_plymouth volare_3430,False,Public
78_amc concord_3210,False,Public
78_buick century special_3380,False,Public
78_mercury zephyr_3070,False,Public
78_dodge aspen_3620,False,Public
78_amc concord d/l_3410,False,Public
78_chevrolet monte carlo landau_3425,False,Public
78_buick regal sport coupe (turbo)_3445,False,Public
78_ford futura_3205,False,Public
78_dodge magnum xe_4080,False,Public
78_chevrolet chevette_2155,True,Public
78_toyota corona_2560,True,Public
78_datsun 510_2300,True,Public
78_dodge omni_2230,True,Public
78_toyota celica gt liftback_2515,False,Public
78_plymouth sapporo_2745,True,Public
78_oldsmobile starfire sx_2855,True,Public
78_datsun 200-sx_2405,True,Public
78_audi 5000_2830,False,Public
78_volvo 264gl_3140,False,Public
78_saab 99gle_2795,False,Public
78_peugeot 604sl_3410,False,Public
78_volkswagen scirocco_1990,True,Public
78_honda accord lx_2135,True,Public
79_pontiac lemans v6_3245,False,Public
79_mercury zephyr 6_2990,False,Public
79_ford fairmont 4_2890,False,Public
79_amc concord dl 6_3265,False,Public
79_dodge aspen 6_3360,False,Public
79_chevrolet caprice classic_3840,False,Public
79_ford ltd landau_3725,False,Public
79_mercury grand marquis_3955,False,Public
79_dodge st. regis_3830,False,Public
79_buick estate wagon (sw)_4360,False,Public
79_ford country squire (sw)_4054,False,Public
79_chevrolet malibu classic (sw)_3605,False,Public
79_chrysler lebaron town @ country (sw)_3940,False,Public
79_vw rabbit custom_1925,True,Public
79_maxda glc deluxe_1975,True,Public
79_dodge colt hatchback custom_1915,True,Public
79_amc spirit dl_2670,True,Public
79_mercedes benz 300d_3530,True,Public
79_cadillac eldorado_3900,False,Public
79_peugeot 504_3190,True,Public
79_oldsmobile cutlass salon brougham_3420,True,Public
79_plymouth horizon_2200,True,Public
79_plymouth horizon tc3_2150,True,Public
79_datsun 210_2020,True,Public
79_fiat strada custom_2130,True,Public
79_buick skylark limited_2670,True,Public
79_chevrolet citation_2595,True,Public
79_oldsmobile omega brougham_2700,True,Public
79_pontiac phoenix_2556,True,Public
80_vw rabbit_2144,True,Public
80_toyota corolla tercel_1968,True,Public
80_chevrolet chevette_2120,True,Public
80_datsun 310_2019,True,Public
80_chevrolet citation_2678,True,Public
80_ford fairmont_2870,True,Public
80_amc concord_3003,True,Public
80_dodge aspen_3381,False,Public
80_audi 4000_2188,True,Public
80_toyota corona liftback_2711,True,Public
80_mazda 626_2542,True,Public
80_datsun 510 hatchback_2434,True,Public
80_toyota corolla_2265,True,Public
80_mazda glc_2110,True,Public
80_dodge colt_2800,True,Public
80_datsun 210_2110,True,Public
80_vw rabbit c (diesel)_2085,True,Public
80_vw dasher (diesel)_2335,True,Public
80_audi 5000s (diesel)_2950,True,Public
80_mercedes-benz 240d_3250,True,Public
80_honda civic 1500 gl_1850,True,Public
80_renault lecar deluxe_1835,True,Public
80_subaru dl_2145,True,Public
80_vokswagen rabbit_1845,True,Public
80_datsun 280-zx_2910,True,Public
80_mazda rx-7 gs_2420,True,Public
80_triumph tr7 coupe_2500,True,Public
80_ford mustang cobra_2905,True,Public
80_honda accord_2290,True,Public
81_plymouth reliant_2490,True,Public
81_buick skylark_2635,True,Public
81_dodge aries wagon (sw)_2620,True,Public
81_chevrolet citation_2725,True,Public
81_plymouth reliant_2385,True,Public
81_toyota starlet_1755,True,Public
81_plymouth champ_1875,True,Public
81_honda civic 1300_1760,True,Public
81_subaru_2065,True,Public
81_datsun 210 mpg_1975,True,Public
81_toyota tercel_2050,True,Public
81_mazda glc 4_1985,True,Public
81_plymouth horizon 4_2215,True,Public
81_ford escort 4w_2045,True,Public
81_ford escort 2h_2380,True,Public
81_volkswagen jetta_2190,True,Public
81_renault 18i_2320,True,Public
81_honda prelude_2210,True,Public
81_toyota corolla_2350,True,Public
81_datsun 200sx_2615,True,Public
81_mazda 626_2635,True,Public
81_peugeot 505s turbo diesel_3230,True,Public
81_volvo diesel_3160,True,Public
81_toyota cressida_2900,True,Public
81_datsun 810 maxima_2930,True,Public
81_buick century_3415,False,Public
81_oldsmobile cutlass ls_3725,True,Public
81_ford granada gl_3060,False,Public
81_chrysler lebaron salon_3465,False,Public
82_chevrolet cavalier_2605,True,Public
82_chevrolet cavalier wagon_2640,True,Public
82_chevrolet cavalier 2-door_2395,True,Public
82_pontiac j2000 se hatchback_2575,True,Public
82_dodge aries se_2525,True,Public
82_pontiac phoenix_2735,True,Public
82_ford fairmont futura_2865,True,Public
82_volkswagen rabbit l_1980,True,Public
82_mazda glc custom l_2025,True,Public
82_mazda glc custom_1970,True,Public
82_plymouth horizon miser_2125,True,Public
82_mercury lynx l_2125,True,Public
82_nissan stanza xe_2160,True,Public
82_honda accord_2205,True,Public
82_toyota corolla_2245,True,Public
82_honda civic_1965,True,Public
82_honda civic (auto)_1965,True,Public
82_datsun 310 gx_1995,True,Public
82_buick century limited_2945,True,Public
82_oldsmobile cutlass ciera (diesel)_3015,True,Public
82_chrysler lebaron medallion_2585,True,Public
82_ford granada l_2835,False,Public
82_toyota celica gt_2665,True,Public
82_dodge charger 2.2_2370,True,Public
82_chevrolet camaro_2950,True,Public
82_ford mustang gl_2790,True,Public
82_vw pickup_2130,True,Public
82_dodge rampage_2295,True,Public
82_ford ranger_2625,True,Public
82_chevy s-10_2720,True,Public
